ASM,CON,COR,VAR,IDM,SAV,SEN,SVA,ENT,DEN,DVA,DIS,CLS,CLP,MAP,MEA,Lable
0.024595114,0.073402571,0.977151603,0.076867274,0.563698857,0.132903242,0.662714387,0.035487118,0.595167889,0.554448645,0.501891662,0.199685109,0.065410186,0.035435951,0.082627565,0.132903242,3
0.009238697,0.106449682,0.977670926,0.113562936,0.454231612,0.189113844,0.741829669,0.058803163,0.689854456,0.63735204,0.430749184,0.270363615,0.088626692,0.04314037,0.045547775,0.189113844,3
0.03111594,0.046660686,0.980414287,0.055200827,0.616787484,0.111486134,0.635214499,0.025047534,0.555961362,0.493161692,0.543683834,0.152542115,0.049458688,0.027519383,0.109395128,0.111486134,3
0.678890439,0.036206751,0.897710359,0.009996229,0.88216671,0.025103882,0.179922962,0.003588922,0.158169893,0.240561954,0.848674764,0.070138149,0.007973375,0.003538521,0.823332633,0.025103882,3
0.007629435,0.186244183,0.957468632,0.115268091,0.376627055,0.198496647,0.75294465,0.06117283,0.728998465,0.725109205,0.373675972,0.372725613,0.081559674,0.040859862,0.043113925,0.198496647,3
0.011502102,0.11425633,0.98290867,0.150046851,0.454000656,0.202983431,0.74871889,0.074934558,0.697778278,0.655022964,0.420761875,0.284387438,0.141421524,0.081686828,0.056202436,0.202983431,3
0.125528855,0.083290214,0.969796147,0.069300153,0.622076686,0.098655376,0.548581051,0.028583892,0.497629316,0.528657382,0.543832489,0.187646508,0.067114392,0.036583623,0.344232403,0.098655376,3
0.117400462,0.068547052,0.982014315,0.086603151,0.589171322,0.121122014,0.585481833,0.037520451,0.533735818,0.550662092,0.516042939,0.192920389,0.086351318,0.051546161,0.336972601,0.121122014,3
0.028018049,0.078117169,0.985522009,0.115945355,0.564418869,0.165412806,0.69725221,0.054894232,0.617193845,0.558005783,0.497841602,0.20106233,0.102892671,0.054249417,0.121048669,0.165412806,3
0.026320985,0.06478566,0.982515196,0.08362367,0.574519657,0.14065052,0.675167887,0.03911322,0.600704951,0.542657739,0.507917421,0.186978625,0.069546605,0.034983999,0.10268479,0.14065052,3
0.048258317,0.053653001,0.982154973,0.068188727,0.588836378,0.114827493,0.623909285,0.030066574,0.557845033,0.520560891,0.518607575,0.168738071,0.05991804,0.031048506,0.191417962,0.114827493,3
0.012852991,0.105438427,0.987077079,0.169694016,0.502110947,0.196991047,0.734147643,0.080497227,0.668438919,0.611535191,0.458771004,0.251382085,0.192097486,0.120066765,0.07240828,0.196991047,3
0.789513978,0.035289783,0.802505392,0.005174638,0.921382647,0.019514578,0.12354361,0.001806219,0.107193227,0.178598889,0.900591706,0.056034792,0.002624728,0.000726904,0.888286387,0.019514578,3
0.346336896,0.115350443,0.927376321,0.043943923,0.70363857,0.063972148,0.381522195,0.016740749,0.355400744,0.489345602,0.642920229,0.205167621,0.034892038,0.015059416,0.585430649,0.063972148,3
0.010880563,0.116989045,0.957425022,0.072339332,0.423811316,0.145565438,0.696791661,0.035603154,0.668403005,0.659528761,0.412650983,0.290002215,0.055110613,0.027799981,0.047891521,0.145565438,3
0.021169205,0.083275897,0.970749865,0.071189654,0.53369369,0.136649483,0.677112336,0.033969861,0.615733157,0.579560309,0.478265346,0.216948654,0.061737294,0.035380507,0.093600938,0.136649483,3
0.408040489,0.123377978,0.923346881,0.044675948,0.731495591,0.066737133,0.360381232,0.017219271,0.335561815,0.461968928,0.68068525,0.203308635,0.029785773,0.010646096,0.637290888,0.066737133,3
0.650120487,0.049101964,0.934502819,0.020567947,0.863408475,0.033611467,0.204683604,0.007490988,0.181580448,0.272335099,0.82940321,0.089613238,0.01687586,0.006562945,0.80572139,0.033611467,3
0.028762174,0.075791007,0.972997853,0.069255103,0.554930043,0.126727269,0.655240527,0.031880678,0.593499615,0.562427746,0.492631607,0.20307587,0.056349637,0.030239235,0.105826993,0.126727269,3
0.01608287,0.085960412,0.979208071,0.097047835,0.515840953,0.1546233,0.698974557,0.046083865,0.637801889,0.588599508,0.468783058,0.225070641,0.088864421,0.046444648,0.072753748,0.1546233,3
0.060287698,0.063155751,0.979150112,0.071135147,0.680960124,0.092130061,0.565707725,0.028551159,0.486567364,0.454219708,0.596544921,0.14239179,0.102849276,0.083216825,0.166682691,0.092130061,3
0.039180155,0.040824826,0.990372635,0.079918054,0.637408571,0.12313987,0.641219172,0.035344961,0.551840314,0.473707613,0.558490908,0.139038718,0.087698662,0.052801298,0.144738437,0.12313987,3
0.023491077,0.052247836,0.978061099,0.056524707,0.563838286,0.115058563,0.647247782,0.025903763,0.581174572,0.527145412,0.506600819,0.173576311,0.055477715,0.033507477,0.086635323,0.115058563,3
0.032933985,0.061086915,0.973018606,0.055857096,0.59056356,0.109256241,0.627976331,0.024947044,0.561275613,0.528467824,0.521065021,0.177728689,0.046947925,0.024896365,0.101944134,0.109256241,3
0.607916145,0.284617571,0.980091226,0.134977479,0.84303873,0.121082492,0.27999646,0.076788384,0.260727017,0.39708466,0.808012582,0.243784499,0.101060663,0.058992847,0.779323649,0.121082492,1
0.963242866,0.025557406,0.650168899,0.000873268,0.988121678,0.026849072,0.03294731,0.000711051,0.028146503,0.057213284,0.98408258,0.020953805,0.000129349,0.0000175,0.981438536,0.026849072,1
0.028548655,0.191614073,0.991826971,0.167723506,0.625913332,0.295745347,0.742613409,0.12166788,0.669643059,0.611205876,0.554333535,0.319823255,0.105168032,0.069270833,0.126061574,0.295745347,1
0.552560729,0.30307603,0.951549093,0.067990666,0.822386455,0.101219083,0.298166122,0.038890997,0.282219743,0.437146295,0.78037253,0.271206824,0.032431071,0.013680452,0.742499502,0.101219083,1
0.019349133,0.225113433,0.988818719,0.161959171,0.589013705,0.300123554,0.755682694,0.119423925,0.694118167,0.653977938,0.528924163,0.367626803,0.09243191,0.057584898,0.067423332,0.300123554,1
0.01227005,0.367846577,0.992346128,0.334505642,0.528843762,0.419230727,0.819841446,0.249072714,0.767756661,0.740254567,0.483481066,0.486248011,0.22027172,0.129830677,0.053249647,0.419230727,1
0.022134018,0.156720219,0.988507971,0.110706035,0.618031531,0.277915446,0.740882917,0.086815941,0.669617032,0.601387953,0.551839511,0.305571689,0.051929183,0.029332021,0.095496882,0.277915446,1
0.008343632,0.266629474,0.997752104,0.407259111,0.521397909,0.49563837,0.857554053,0.320192928,0.793102655,0.712867808,0.487786281,0.44338876,0.297813143,0.199778949,0.033112427,0.49563837,1
0.960837535,0.029386776,0.802786532,0.001759246,0.986284073,0.027682204,0.035169485,0.00119005,0.030124675,0.063019906,0.981844588,0.023874685,0.000469324,0.000102945,0.980211587,0.027682204,1
0.023070392,0.329777315,0.98578746,0.201153131,0.550470116,0.334438971,0.770665931,0.149573451,0.726236693,0.727274127,0.491446549,0.458774777,0.094499638,0.050868368,0.110122009,0.334438971,1
0.850393208,0.171821804,0.916228865,0.023328551,0.94434997,0.045599775,0.108331563,0.012692562,0.097000205,0.181831813,0.930255713,0.104534623,0.012281071,0.004826882,0.922069182,0.045599775,1
0.010325247,0.447827214,0.990179075,0.350414206,0.479091825,0.459453001,0.843229272,0.27329867,0.806350075,0.803191449,0.445573845,0.575536213,0.200914493,0.114504393,0.046767764,0.459453001,1
0.009867801,0.404455036,0.994035321,0.421054564,0.499453379,0.507510616,0.861590296,0.332663126,0.812453294,0.774393523,0.461529957,0.53165547,0.253404112,0.152102085,0.046929742,0.507510616,1
0.010213017,0.384665015,0.990896848,0.315557561,0.508506363,0.424152554,0.827587217,0.24064855,0.782332833,0.750401495,0.475181995,0.505745683,0.214907485,0.14336345,0.043931346,0.424152554,1
0.015388775,0.324221303,0.994949826,0.366191294,0.553383658,0.419619808,0.816453464,0.26636523,0.752866809,0.71467109,0.499787117,0.450401166,0.252003041,0.159433542,0.064107176,0.419619808,1
0.844997379,0.133321066,0.802455233,0.007968255,0.943255715,0.03850812,0.107340361,0.004354525,0.097150291,0.183194597,0.928589779,0.09798209,0.001959337,0.000416358,0.91911882,0.03850812,1
0.014666336,0.325241769,0.989219791,0.239680343,0.536825714,0.373823436,0.799625398,0.182336972,0.74978138,0.72780316,0.488041662,0.462671628,0.120016621,0.059548928,0.068862937,0.373823436,1
0.008553502,0.340141876,0.992858863,0.321680151,0.488877115,0.480449417,0.855338776,0.267300291,0.808503294,0.763719675,0.460338746,0.512495325,0.156855626,0.081654717,0.037686082,0.480449417,1
0.006008103,0.387828923,0.997956787,0.608081199,0.456809932,0.665622523,0.916913656,0.520210588,0.866688022,0.808236825,0.436413146,0.5786171,0.382349362,0.260321114,0.035782793,0.665622523,1
0.008383274,0.349378878,0.992674588,0.325747635,0.491472769,0.503277332,0.862662127,0.279897734,0.81390158,0.7622835,0.461752226,0.513040055,0.146741915,0.078036603,0.036103825,0.503277332,1
0.008568518,0.365564163,0.987053079,0.238100425,0.485694665,0.417488894,0.829586934,0.196694012,0.790429578,0.765046936,0.460691289,0.520659738,0.131726524,0.08096217,0.033626051,0.417488894,1
0.910410547,0.153290542,0.812257244,0.009627088,0.965716709,0.036191032,0.071280558,0.005177243,0.063046705,0.125799171,0.957966608,0.077684169,0.003261433,0.000892614,0.954122077,0.036191032,1
0.013451823,0.246211608,0.989331855,0.182718313,0.544974832,0.343126407,0.786877008,0.142359702,0.733937304,0.689112043,0.502134502,0.410743048,0.104163786,0.062965643,0.061655337,0.343126407,1
0.009576637,0.292282537,0.995894269,0.361944747,0.517495652,0.489211866,0.857163155,0.29292531,0.797000011,0.731523783,0.479635265,0.464796832,0.199427388,0.110884248,0.045123823,0.489211866,1
0.814121314,0.170855794,0.940052342,0.031611175,0.933207221,0.05365078,0.132701275,0.017405385,0.11964026,0.209790402,0.915511705,0.119068288,0.017350727,0.007820162,0.902134543,0.05365078,1
0.696569303,0.242435521,0.959871977,0.064257372,0.885651336,0.081742425,0.209586422,0.035996293,0.193322822,0.316375698,0.857102588,0.189966943,0.034367269,0.014591882,0.8342373,0.081742425,1
0.015655075,0.324748172,0.99193228,0.286484399,0.52554635,0.391048557,0.803094234,0.213342644,0.757412381,0.746280523,0.477255255,0.483496122,0.168095979,0.10025911,0.063818384,0.391048557,1
0.04183205,0.209879516,0.982624048,0.110458855,0.664223627,0.211940131,0.668377078,0.073446996,0.601820073,0.578586923,0.583334989,0.293744302,0.060610588,0.032593739,0.131355487,0.211940131,1
0.011423082,0.29567428,0.989443385,0.220877087,0.539599573,0.375777382,0.803456716,0.172985833,0.7506287,0.699205772,0.497584815,0.428964362,0.172224159,0.144921586,0.042558993,0.375777382,1
0.946959886,0.088739455,0.755155424,0.004302548,0.979596542,0.030447319,0.046299342,0.00241373,0.040147322,0.084532767,0.975008907,0.047504179,0.001304252,0.00034484,0.973104996,0.030447319,1
0.009619466,0.375688493,0.983339484,0.204090411,0.498284492,0.403754734,0.823242808,0.173409997,0.784321778,0.757796604,0.468065428,0.510726828,0.093363214,0.051061715,0.045261795,0.403754734,1
0.889976314,0.132755587,0.899472066,0.015180565,0.960678118,0.038593975,0.082282436,0.008265898,0.072527674,0.139596706,0.949754087,0.075724663,0.007878751,0.003123875,0.943324586,0.038593975,1
0.018785145,0.167963159,0.991701365,0.145718427,0.593577315,0.302795503,0.760748806,0.111572676,0.693721916,0.625611184,0.535180222,0.330493528,0.079810534,0.051001099,0.076820651,0.302795503,1
0.012440874,0.217236386,0.993305089,0.212825204,0.546146263,0.383801049,0.810055401,0.17160669,0.748845766,0.674312026,0.503324224,0.389066133,0.112526784,0.068864155,0.058627084,0.383801049,1
0.016403458,0.21907,0.994419728,0.235932627,0.587288998,0.365861414,0.793764821,0.178094047,0.721038223,0.653557737,0.52754863,0.366938759,0.148602978,0.092287622,0.069974685,0.365861414,1
0.008034943,0.417493447,0.990391182,0.33117389,0.487376094,0.47001069,0.851134438,0.267540164,0.807164173,0.770653714,0.461131117,0.536472588,0.206867835,0.130107948,0.040291926,0.47001069,1
0.021426599,0.488025369,0.981539541,0.245319007,0.568255106,0.344073069,0.772961435,0.17557605,0.721561198,0.72408581,0.505807007,0.485791129,0.144551575,0.082070635,0.090267753,0.344073069,1
0.008464569,0.333343399,0.995894686,0.41277655,0.496263112,0.487124117,0.854598358,0.319032107,0.803642516,0.75125034,0.468472565,0.497462552,0.307075253,0.221288472,0.041256559,0.487124117,1
0.011113155,0.476465092,0.979111929,0.217707318,0.474164895,0.390876579,0.814447807,0.175812103,0.787696442,0.802927321,0.444280026,0.579230163,0.099025003,0.051467312,0.057405833,0.390876579,1
0.010738071,0.330925673,0.992575562,0.306251567,0.496332551,0.46273449,0.846937174,0.251428909,0.800319243,0.764661404,0.459482248,0.507093473,0.163786312,0.099311547,0.05426524,0.46273449,1
0.005686392,0.605381336,0.985244123,0.359439476,0.409333103,0.521606873,0.87551036,0.305610013,0.860957431,0.860312945,0.41069043,0.688730517,0.179217982,0.099810418,0.035974346,0.521606873,1
0.914303392,0.072051556,0.900068978,0.008285711,0.97094649,0.03349356,0.065291669,0.004648161,0.056774122,0.109468881,0.961930771,0.049173186,0.003733462,0.001268428,0.956148539,0.03349356,1
0.006392416,0.512509207,0.985855059,0.313682815,0.452487354,0.507623898,0.869996312,0.274795066,0.840799945,0.82611049,0.433206359,0.620914414,0.15599857,0.086116421,0.033568917,0.507623898,1
0.015045686,0.25775077,0.995591385,0.309607979,0.5578578,0.4254659,0.82352123,0.2385118,0.756174972,0.688508374,0.503814682,0.405901488,0.244718385,0.208279656,0.079459883,0.4254659,1
0.636034797,0.384694611,0.955495259,0.093079175,0.849394214,0.111295542,0.261077421,0.053199908,0.246940572,0.394130981,0.819242877,0.278648716,0.044817233,0.017095258,0.797200844,0.111295542,1
0.007837679,0.276463627,0.998280476,0.452442411,0.494070662,0.574041858,0.887776953,0.383488986,0.82925613,0.750419585,0.462499549,0.484404152,0.253439388,0.157884146,0.039370366,0.574041858,1
0.905796047,0.069844688,0.766794481,0.003553697,0.969889268,0.031025702,0.067292472,0.002051748,0.058785316,0.112964031,0.959597656,0.049362535,0.000821244,0.000155691,0.951662784,0.031025702,1
0.024531917,0.227733917,0.994129916,0.239044684,0.61639397,0.329960607,0.760217745,0.16897749,0.688520498,0.646116972,0.543992716,0.360387643,0.140603687,0.073396759,0.100231151,0.329960607,1
0.842354605,0.098079359,0.723150455,0.004220823,0.946081765,0.034683565,0.104078137,0.002353059,0.093770006,0.174855017,0.929673224,0.081149663,0.00071811,0.000108315,0.917646477,0.034683565,1
0.917214295,0.0786378,0.927975055,0.012308519,0.972702011,0.034587272,0.06332225,0.006813191,0.054714152,0.104816501,0.963535819,0.046710142,0.006879635,0.002669862,0.957670151,0.034587272,1
0.004559211,0.460650774,0.992651029,0.428721411,0.412347208,0.647508596,0.918407859,0.412577097,0.887027177,0.83920189,0.41415555,0.639995086,0.18565999,0.103095235,0.033982052,0.647508596,1
0.010029086,0.344404066,0.988639519,0.245177173,0.500026618,0.398288981,0.818789415,0.193510499,0.778023915,0.756396136,0.467321628,0.502515096,0.152389183,0.098081967,0.043764752,0.398288981,1
0.006966377,0.456590554,0.990385567,0.362063442,0.44784442,0.487653938,0.856757639,0.291747488,0.830589698,0.81787225,0.433202686,0.602837141,0.19947272,0.105972704,0.034924109,0.487653938,1
0.022663285,0.209911679,0.980148986,0.099786301,0.591675321,0.253836993,0.727448474,0.075391339,0.673482785,0.634812154,0.532452254,0.345162142,0.050734213,0.030905279,0.094146847,0.253836993,1
0.006466533,0.405702627,0.986383423,0.255098779,0.449549151,0.490293523,0.862748305,0.235865775,0.832913276,0.807505963,0.433511285,0.577966355,0.092395984,0.044456161,0.030904898,0.490293523,1
0.01260803,0.403892837,0.994558838,0.440198173,0.521635606,0.479691811,0.842550332,0.330388325,0.786964866,0.752966758,0.478553599,0.50957271,0.301744963,0.196679829,0.056718162,0.479691811,1
0.016864047,0.332214034,0.984025484,0.186196444,0.546271486,0.340122602,0.781050465,0.143121563,0.732427354,0.71699785,0.4939554,0.451346628,0.100655316,0.062289333,0.077863717,0.340122602,1
0.009276091,0.308761543,0.994110114,0.323517808,0.49500215,0.493947621,0.860947261,0.274460793,0.810361781,0.751975348,0.463630181,0.490480538,0.147274374,0.073490916,0.050811241,0.493947621,1
0.00907894,0.357117532,0.993846267,0.365833564,0.494697399,0.488886419,0.855941658,0.294677594,0.807198399,0.766426888,0.462678505,0.516872408,0.189241332,0.099464197,0.042027277,0.488886419,1
0.838355338,0.179704736,0.798289201,0.010525327,0.937798426,0.041353742,0.114155663,0.005653845,0.104143981,0.197697277,0.923025084,0.1161227,0.002760372,0.000620948,0.915522473,0.041353742,1
0.007292195,0.395781335,0.990844383,0.323597231,0.476009292,0.481572154,0.855702071,0.268645566,0.814656069,0.779199025,0.454088843,0.540465281,0.190457438,0.122258333,0.035822075,0.481572154,1
0.841023701,0.136267324,0.894742573,0.014920491,0.943271579,0.041702056,0.110802234,0.008160603,0.099530827,0.184238801,0.92706347,0.096906495,0.006907577,0.002611901,0.916950096,0.041702056,1
0.005293619,0.390769911,0.987667428,0.263204679,0.442694472,0.506755773,0.868459806,0.247875122,0.838037533,0.795170333,0.438145623,0.566425453,0.127597466,0.074661226,0.024683121,0.506755773,1
0.909589627,0.097278687,0.754546491,0.004705309,0.967912903,0.032530868,0.068150098,0.002620461,0.06010408,0.11899776,0.959088375,0.061304847,0.001080015,0.000206743,0.953674665,0.032530868,1
0.013070521,0.383123347,0.990465749,0.305416539,0.508975435,0.431001391,0.826871214,0.238006719,0.781852034,0.766688922,0.466896634,0.51815747,0.152583416,0.082399558,0.066459328,0.431001391,1
0.899118842,0.126358059,0.755667901,0.006139907,0.962390701,0.034693061,0.07684583,0.003341674,0.068764163,0.134630065,0.953049182,0.076136884,0.001459792,0.000295719,0.948179016,0.034693061,1
0.011576055,0.299948369,0.989295978,0.222076693,0.533265715,0.396696266,0.815470368,0.180816676,0.76072759,0.708110266,0.490905717,0.436887036,0.122552905,0.070970109,0.057733213,0.396696266,1
